Time,Velocity,Distance
24.5, 4.9, 60.025
24.6, 4.92, 60.516
24.7, 4.94, 61.009
24.8, 4.96, 61.504
24.9, 4.98, 62.001
10.0, 5.0, -12.5
10.1, 4.98, -12.001
10.2, 4.96, -11.504
10.3, 4.94, -11.009
10.4, 4.92, -10.516
10.5, 4.9, -10.025
10.6, 4.88, -9.536
10.7, 4.86, -9.049
10.8, 4.84, -8.564
10.9, 4.82, -8.081
11.0, 4.8, -7.6
11.1, 4.78, -7.121
11.2, 4.76, -6.644
11.3, 4.74, -6.169
11.4, 4.72, -5.696
11.5, 4.7, -5.225
11.6, 4.68, -4.756
11.7, 4.66, -4.289
11.8, 4.64, -3.824
11.9, 4.62, -3.361
12.0, 4.6, -2.9
12.1, 4.58, -2.441
12.2, 4.56, -1.984
12.3, 4.54, -1.529
12.4, 4.52, -1.076
12.5, 4.5, -0.625
12.6, 4.48, -0.176
12.7, 4.46, 0.271
12.8, 4.44, 0.716
12.9, 4.42, 1.159
13.0, 4.4, 1.6
13.1, 4.38, 2.039
13.2, 4.36, 2.476
13.3, 4.34, 2.911
13.4, 4.32, 3.344
13.5, 4.3, 3.775
13.6, 4.28, 4.204
13.7, 4.26, 4.631
13.8, 4.24, 5.056
13.9, 4.22, 5.479
14.0, 4.2, 5.9
14.1, 4.18, 6.319
14.2, 4.16, 6.736
14.3, 4.14, 7.151
14.4, 4.12, 7.564
14.5, 4.1, 7.975
14.6, 4.08, 8.384
14.7, 4.06, 8.791
14.8, 4.04, 9.196
14.9, 4.02, 9.599
15.0, 4.0, 10.0
15.1, 3.98, 10.399
15.2, 3.96, 10.796
15.3, 3.94, 11.191
15.4, 3.92, 11.584
15.5, 3.9, 11.975
15.6, 3.88, 12.364
15.7, 3.86, 12.751
15.8, 3.84, 13.136
15.9, 3.82, 13.519
16.0, 3.8, 13.9
16.1, 3.78, 14.279
16.2, 3.76, 14.656
16.3, 3.74, 15.031
16.4, 3.72, 15.404
16.5, 3.7, 15.775
16.6, 3.68, 16.144
16.7, 3.66, 16.511
16.8, 3.64, 16.876
16.9, 3.62, 17.239
17.0, 3.6, 17.6
17.1, 3.58, 17.959
17.2, 3.56, 18.316
17.3, 3.54, 18.671
17.4, 3.52, 19.024
17.5, 3.5, 19.375
17.6, 3.48, 19.724
17.7, 3.46, 20.071
17.8, 3.44, 20.416
17.9, 3.42, 20.759
18.0, 3.4, 21.1
18.1, 3.38, 21.439
18.2, 3.36, 21.776
18.3, 3.34, 22.111
18.4, 3.32, 22.444
18.5, 3.3, 22.775
18.6, 3.28, 23.104
18.7, 3.26, 23.431
18.8, 3.24, 23.756
18.9, 3.22, 24.079
19.0, 3.2, 24.4
19.1, 3.18, 24.719
19.2, 3.16, 25.036
19.3, 3.14, 25.351
19.4, 3.12, 25.664
19.5, 3.1, 25.975
19.6, 3.08, 26.284
19.7, 3.06, 26.591
19.8, 3.04, 26.896
19.9, 3.02, 27.199
20.0, 0, 50.0
