Time,Velocity,Distance,Acceleration
0.0,0.0,0.0,1.0
1.1,1.1,0.6050000000000001,1.0
2.2,2.2,2.4200000000000004,1.0
3.3000000000000003,3.3000000000000003,5.445000000000001,1.0
4.4,4.4,9.680000000000001,1.0
5.5,5.5,15.125,1.0
6.6,6.6,21.779999999999998,1.0
7.699999999999999,7.699999999999999,29.644999999999996,1.0
0.8336969696969697,1.7975941355840785,-27.15325,-1.0
1.9336969696969697,0.6975941355840785,-18.68325,-1.0
3.03369696969697,0.0,-11.42325,-1.0
4.13369696969697,0.0,-5.373249999999997,-1.0
5.23369696969697,0.0,-0.5332499999999989,-1.0
6.33369696969697,0.0,3.09675,-1.0
7.433696969696969,0.0,5.51675,-1.0
8.533696969696969,0.0,6.72675,-1.0
9.634,0,6.878,0
